question_id,wrong_ans,correct_ans,question,explanation
234," ""내껍니다"""," ""내 것입니다"""," ""이 물건은 [내 것입니다].""", '내 것'이 줄어든 말은 '내 거'입니다.
235," ""내딛었다"""," ""내디뎠다"""," ""그는 용감하게 첫발을 [내디뎠다].""", '내 것'이 줄어든 말은 '내 거'입니다.
236," ""내딛었다"""," ""내디뎠다"""," ""그녀가 문을 열고 방에 [내디뎠다].""", '내 것'이 줄어든 말은 '내 거'입니다.
237," ""내딛었다"""," ""내디뎠다"""," ""새로운 프로젝트에 한 발 [내디뎠다].""", '내 것'이 줄어든 말은 '내 거'입니다.
238," ""내노라하는"""," ""내로라하는"""," ""그는 [내로라하는] 전문가이다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
239," ""내노라하는"""," ""내로라하는"""," ""그 팀은 [내로라하는] 선수들로 구성되어 있다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
240," ""내노라하는"""," ""내로라하는"""," ""그녀는 업계에서 [내로라하는] 사람이다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
241," ""내노라하는"""," ""내로라하는"""," ""기교는 [내로라하는] 기술이다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
242," ""내노라하는"""," ""내로라하는"""," ""그는 [내로라하는] 요리사였다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
243," ""내노라하는"""," ""내로라하는"""," ""[내로라하는] 선수들이 모여 있었다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
244," ""내노라하는"""," ""내로라하는"""," ""그 소설가는 [내로라하는] 작가 중 한 명이다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
245," ""내노라하는"""," ""내로라하는"""," ""[내로라하는] 실력을 갖춘 사람들이 모였다."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
246," ""내일부터 만이라도"""," ""내일부터만이라도"""," ""[내일부터만이라도] 실수를 줄이자."""," '내로라하다'가 맞는 표기로, ""어떤 분야를 대표할 만하다.""라는 뜻을 갖고 있습니다."
247," ""냄세"""," ""냄새"""," ""[냄새]가 너무 강해서 창문을 열어야겠어.""", '냄새'가 맞는 표기입니다.
248," ""냄세"""," ""냄새"""," ""오래된 서랍에서 이상한 [냄새]가 나.""", '냄새'가 맞는 표기입니다.
249," ""냄세"""," ""냄새"""," ""고기가 타버려서 방 안에 [냄새]가 가득해.""", '냄새'가 맞는 표기입니다.
250," ""넓다랗게"""," ""널따랗게"""," ""[널따랗게] 펼쳐진 들판을 걸었다."""," 한글맞춤법 제21항에 따르면 용언의 어간 뒤에 자음으로 시작된 접미사가 붙어서 된 말은 그 어간의 원형을 밝히어 적습니다만, 겹받침의 끝소리가 드러나지 아니하는 것은 소리대로 적으므로 '넓-'에 '-다랗다'가 결합한 말은 '널따랗다'로 적는 것이 맞습니다."
251," ""넓다랗게"""," ""널따랗게"""," ""[널따랗게] 소파에 누워서 TV를 봤다."""," 한글맞춤법 제21항에 따르면 용언의 어간 뒤에 자음으로 시작된 접미사가 붙어서 된 말은 그 어간의 원형을 밝히어 적습니다만, 겹받침의 끝소리가 드러나지 아니하는 것은 소리대로 적으므로 '넓-'에 '-다랗다'가 결합한 말은 '널따랗다'로 적는 것이 맞습니다."
252," ""넓다랗게"""," ""널따랗게"""," ""[널따랗게] 자리 잡은 캠핑장이 인상적이었다."""," 한글맞춤법 제21항에 따르면 용언의 어간 뒤에 자음으로 시작된 접미사가 붙어서 된 말은 그 어간의 원형을 밝히어 적습니다만, 겹받침의 끝소리가 드러나지 아니하는 것은 소리대로 적으므로 '넓-'에 '-다랗다'가 결합한 말은 '널따랗다'로 적는 것이 맞습니다."
253," ""널부러져"""," ""널브러져"""," ""아이들이 방에 [널브러져] 있다.""", ‘널브러지다’는 “그들은 땅바닥에 아무렇게나 널브러져 앉아 있었다”처럼 몸에 힘이 빠져 몸을 추스르지 못하고 축 늘어지다는 뜻으로 쓰인다.
254," ""널부러져"""," ""널브러져"""," ""책들이 책상 위에 [널브러져] 있다.""", ‘널브러지다’는 “그들은 땅바닥에 아무렇게나 널브러져 앉아 있었다”처럼 몸에 힘이 빠져 몸을 추스르지 못하고 축 늘어지다는 뜻으로 쓰인다.
255," ""널부러져"""," ""널브러져"""," ""옷들이 바닥에 [널브러져] 있어서 걸어 다니기 어렵다.""", ‘널브러지다’는 “그들은 땅바닥에 아무렇게나 널브러져 앉아 있었다”처럼 몸에 힘이 빠져 몸을 추스르지 못하고 축 늘어지다는 뜻으로 쓰인다.
256," ""넓직하고"""," ""널찍하고"""," ""이 집 거실은 [널찍하고] 시원해 보여."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
257," ""넓직하여"""," ""널찍하여"""," ""이 공연장은 무대가 [널찍하여] 환상적이다."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
258," ""넓직한"""," ""널찍한"""," ""[널찍한] 공간에서 놀 수 있어서 좋아."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
259," ""넓직한"""," ""널찍한"""," ""[널찍한] 곳이라 사람들 모이기 좋아."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
260," ""넓직해서"""," ""널찍해서"""," ""그 집 거실은 정말 [널찍해서] 편안하다."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
261," ""넓직해서"""," ""널찍해서"""," ""길의 폭이 정말 [널찍해서] 지나가기 좋았다."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
262," ""넓직해서"""," ""널찍해서"""," ""이 방은 정말 [널찍해서] 회의하기 좋다."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
263," ""놀거리"""," ""놀 거리"""," ""이 근처에 [놀 거리]가 많아서 심심하지 않을 거야.""", 의존 명사 '것'과 접미사 '-거리'가 결합한 말은 '놀 거리'처럼 띄어 써야 합니다.
264," ""놀거리"""," ""놀 거리"""," ""아이들이 편하게 [놀 거리]를 찾도록 도와주세요.""", 의존 명사 '것'과 접미사 '-거리'가 결합한 말은 '놀 거리'처럼 띄어 써야 합니다.
265," ""놀거리"""," ""놀 거리"""," ""도시 생활에는 다양한 [놀 거리]가 존재한다.""", 의존 명사 '것'과 접미사 '-거리'가 결합한 말은 '놀 거리'처럼 띄어 써야 합니다.
266," ""농삿일"""," ""농사일"""," ""[농사일]이 끝나면 좀 쉬려고."""," ‘농삿일’은 ‘농사+일’로 이루어진 합성어이다. 이는 사이시옷이 들어간 형태인데, 한글 맞춤법 제30항에 따르면 순우리말로 된 합성어로서 앞말이 모음으로 끝난 경우 뒷말의 첫소리가 된소리로 나면 사이시옷을 받치어 적는다."
267," ""농삿일"""," ""농사일"""," ""아버지는 지금 [농사일] 하러 가셨어."""," ‘농삿일’은 ‘농사+일’로 이루어진 합성어이다. 이는 사이시옷이 들어간 형태인데, 한글 맞춤법 제30항에 따르면 순우리말로 된 합성어로서 앞말이 모음으로 끝난 경우 뒷말의 첫소리가 된소리로 나면 사이시옷을 받치어 적는다."
268," ""농삿일"""," ""농사일"""," ""[농사일]은 언제 끝날지 알기 어려워."""," ‘농삿일’은 ‘농사+일’로 이루어진 합성어이다. 이는 사이시옷이 들어간 형태인데, 한글 맞춤법 제30항에 따르면 순우리말로 된 합성어로서 앞말이 모음으로 끝난 경우 뒷말의 첫소리가 된소리로 나면 사이시옷을 받치어 적는다."
269," ""높히기"""," ""높이기"""," ""우리 팀의 성적을 [높이기] 위해 열심히 노력하고 있다."""," '높이다'는 '높이+다'로 이루어진 말입니다. 이 때 어간인 '높이'에 사동 접미사 '-이-'가 결합한 것이므로 사동사이며, 따라서 '높히다'와 같이 쓰지 않습니다."
270," ""높히다"""," ""높이다"""," ""건물을 안전하게 [높이다]."""," '높이다'는 '높이+다'로 이루어진 말입니다. 이 때 어간인 '높이'에 사동 접미사 '-이-'가 결합한 것이므로 사동사이며, 따라서 '높히다'와 같이 쓰지 않습니다."
271," ""뇌졸증"""," ""뇌졸중"""," ""그는 [뇌졸중]으로 고생하고 있다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
272," ""뇌졸증"""," ""뇌졸중"""," ""[뇌졸중] 증상에 대해 공부했다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
273," ""뇌졸증"""," ""뇌졸중"""," ""갑작스런 [뇌졸중]으로 병원에 실려 갔다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
274," ""뇌졸증"""," ""뇌졸중"""," ""그는 [뇌졸중]으로 고생하고 있었다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
275," ""뇌졸증"""," ""뇌졸중"""," ""[뇌졸중] 증상에는 어떤 것들이 있나요?""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
276," ""뇌졸증"""," ""뇌졸중"""," ""[뇌졸중] 환자에게는 신속한 치료가 필요하다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
277," ""뇌졸증"""," ""뇌졸중"""," ""[뇌졸중]은 언제나 주의해야 한다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
278," ""뇌졸증"""," ""뇌졸중"""," ""엄마가 [뇌졸중]을 겪으셔서 걱정이 많다.""", '뇌졸중'은 뇌에 혈액을 공급하는 혈관이 막히거나 터져서 뇌 손상이 오고 그에 따른 신체장애가 나타나는 질환이다.
279," ""누누히"""," ""누누이"""," ""그 문제에 대해 [누누이] 설명했어.""", 부사 ‘누누이’는 여러 번이라는 뜻이다.
280," ""누누히"""," ""누누이"""," ""저는 그 사실을 [누누이] 강조했습니다.""", 부사 ‘누누이’는 여러 번이라는 뜻이다.
281," ""누누히"""," ""누누이"""," ""이 점을 [누누이] 말해왔잖아요.""", 부사 ‘누누이’는 여러 번이라는 뜻이다.
282," ""눈꼽"""," ""눈곱"""," ""아침마다 [눈곱]을 닦아내요."""," '눈곱'은 ‘눈’과 ‘곱’이 결합한 말로, 여기서 ‘곱’은 부스럼이나 헌데에 끼는 고름 모양의 물질을 가리킨다. 따라서 소리가 비슷한 다른 단어와 혼동하지 않도록 주의해야 한다."
283," ""눈꼽"""," ""눈곱"""," ""강아지의 [눈곱]이 많이 끼었네요."""," '눈곱'은 ‘눈’과 ‘곱’이 결합한 말로, 여기서 ‘곱’은 부스럼이나 헌데에 끼는 고름 모양의 물질을 가리킨다. 따라서 소리가 비슷한 다른 단어와 혼동하지 않도록 주의해야 한다."
284," ""뉘엇뉘엇"""," ""뉘엿뉘엿"""," ""해가 [뉘엿뉘엿] 저물어 간다.""", '뉘엿뉘엿'은 해가 곧 지려고 산이나 지평선 너머로 조금씩 차츰 넘어가는 모양을 나타내는 말이다.
285," ""뉘엇뉘엇"""," ""뉘엿뉘엿"""," ""산 위로 해가 [뉘엿뉘엿] 넘어가고 있다.""", '뉘엿뉘엿'은 해가 곧 지려고 산이나 지평선 너머로 조금씩 차츰 넘어가는 모양을 나타내는 말이다.
286," ""뉘엇뉘엇"""," ""뉘엿뉘엿"""," ""저녁 하늘이 [뉘엿뉘엿] 붉게 물들고 있다.""", '뉘엿뉘엿'은 해가 곧 지려고 산이나 지평선 너머로 조금씩 차츰 넘어가는 모양을 나타내는 말이다.
287," ""느즈막하게"""," ""느지막하게"""," ""아침에 [느지막하게] 눈을 떴다.""", '느지막하다'는 시간이나 기한이 매우 늦음을 나타내는 말이다.
288," ""느즈막하게"""," ""느지막하게"""," ""그는 언제나 [느지막하게] 식사를 한다.""", '느지막하다'는 시간이나 기한이 매우 늦음을 나타내는 말이다.
289," ""느즈막하게"""," ""느지막하게"""," ""그녀는 [느지막하게] 산책을 시작했다.""", '느지막하다'는 시간이나 기한이 매우 늦음을 나타내는 말이다.
290," ""느즈막한"""," ""느지막한"""," ""우리는 [느지막한] 시간에 출발했다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
291," ""느즈막한"""," ""느지막한"""," ""그는 [느지막한] 시간에 도착했다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
292," ""느즈막한"""," ""느지막한"""," ""[느지막한] 시각에야 손님이 다 갔다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
293," ""느즈막히"""," ""느지막히"""," ""[느지막히] 친구들과 만나서 놀았다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
294," ""느즈막히"""," ""느지막히"""," ""[느지막히] 집에 도착해서 저녁을 먹었다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
295," ""느즈막히"""," ""느지막히"""," ""그는 [느지막히] 일어나서 서둘러 준비했다.""", ‘느지막하다’는 시간이나 기한이 매우 늦다는 뜻이다.
296," ""늘상"""," ""늘"""," ""그들 가족은 [늘] 이곳에 온다.""", ‘늘’은 ‘언제나 변함없이 항상’이라는 뜻이다. 이에 비해 ‘늘상’은 ‘늘’과 ‘항상’이 결합한 말로 의미가 중복된 것이다.
297," ""늘상"""," ""늘"""," ""[늘] 이렇게 피곤할 수 없어요.""", ‘늘’은 ‘언제나 변함없이 항상’이라는 뜻이다. 이에 비해 ‘늘상’은 ‘늘’과 ‘항상’이 결합한 말로 의미가 중복된 것이다.
298," ""늙으막"""," ""늘그막"""," ""그는 [늘그막]에 큰 성공을 이뤘다.""", ‘늙으막’은 ‘늘그막’의 잘못된 말이다.
299," ""늘여야"""," ""늘려야"""," ""우리는 예산을 [늘려야] 했다."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
300," ""늘이고"""," ""늘리고"""," ""몸무게를 목표만큼 [늘리고] 싶다."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
301," ""늘이려면"""," ""늘리려면"""," ""그의 능력을 [늘리려면] 시간이 필요하다."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
302," ""늘인다"""," ""늘린다"""," ""영업 시간을 저녁까지 [늘린다]."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
303," ""늘일"""," ""늘릴"""," ""회사를 더 크게 [늘릴] 계획이다."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
304," ""늘렸다"""," ""늘였다"""," ""고무줄을 더 [늘였다]."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
305," ""늘렸다"""," ""늘였다"""," ""나는 피아노 연습 시간을 [늘였다]."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
306," ""늘린다"""," ""늘인다"""," ""그녀는 매일 스트레칭을 통해 몸을 [늘인다]."""," '늘다'는 물체의 길이나 넓이, 부피 따위가 본디보다 커지거나 수효가 많아지거나 시간이 길어지다라는 뜻이고, '늘리다'는 ‘물체의 길이, 넓이, 부피 따위를 본디보다 커지게 하다’, ‘수나 분량 따위를 본디보다 많아지게 하거나 무게를 더 나가게 하다’, ‘시간이나 기간을 길게 하다’, ‘힘이나 기운, 세력 따위를 큰 상태가 되게 하다’ 등의 뜻입니다."
307," ""닥달하는"""," ""닦달하는"""," ""그는 항상 누군가를 [닦달하는] 버릇이 있어.""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
308," ""닥달하는"""," ""닦달하는"""," ""내가 뭘 잘못했길래 그렇게 [닦달하는] 거야?""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
309," ""닥달하는"""," ""닦달하는"""," ""그녀는 아이를 [닦달하는] 대신 혼내지 않고 타일렀다.""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
310," ""닥달하니"""," ""닦달하니"""," ""너는 왜 그렇게 나를 자꾸 [닦달하니]?""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
311," ""닥달하던"""," ""닦달하던"""," ""매일 아침마다 나를 [닦달하던] 그녀가 그리워.""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
312," ""닥달하셨어"""," ""닦달하셨어"""," ""선생님이 학생에게 공부하라고 [닦달하셨어].""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
313," ""닥달해서"""," ""닦달해서"""," ""그는 매일매일 나를 [닦달해서] 힘들었다.""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
314," ""닥달했다"""," ""닦달했다"""," ""친구가 나를 계속 [닦달했다].""", ‘닦달하다’는 남을 단단히 윽박질러서 혼을 낸다는 뜻이다.
315," ""단언컨데"""," ""단언컨대"""," ""그는 [단언컨대] 올바른 선택을 했다.""", '단언하건대'가 줄어든 말은 '단언컨대'입니다.
316," ""단언코"""," ""단연코"""," ""나는 그 점을 [단연코] 지지하지 않아.""", 단연코는 '틀림없이 그렇다고 단정하여 말하거나 확실히 그렇다고 여김'이라는 뜻이다.
317," ""단언코"""," ""단연코"""," ""그는 회의에서 자신의 의견을 [단연코] 강조했다.""", 단연코는 '틀림없이 그렇다고 단정하여 말하거나 확실히 그렇다고 여김'이라는 뜻이다.
318," ""단언코"""," ""단연코"""," ""이 작품은 [단연코] 최고의 작품이다.""", 단연코는 '틀림없이 그렇다고 단정하여 말하거나 확실히 그렇다고 여김'이라는 뜻이다.
319," ""담궜다"""," ""담갔다"""," ""김치를 너무 오래 [담갔다]."""," '담그다'는 '담가, 담그니, 담근, 담가서, 담가라, 담글, 담그고, 담그면, 담그지'와 같이 활용한다. 따라서 '김치를 담궜어'나 '발을 담구었다' 등은 모두 틀린 표현이다. 이처럼 모음 어미 앞에서 어간의 끝소리 '?'가 탈락하는 것을 '으탈락'이라고 한다. 한편 '잠그다'는 '잠가, 잠그니, 잠근, 잠가서, 잠가라, 잠글, 잠그고, 잠그면, 잠그지'와 같이 활용하므로 '문을 잠궈서'라고 하면 틀린다. 또한 '끄다'도 '꺼, 끄니, 끈, 꺼서, 꺼라, 끌, 끄고, 끄면, 끄지'와 같이 활용하므로 '불을 꺼야 해'로 써야 한다."
320," ""담궜다"""," ""담갔다"""," ""장독에 고추장을 [담갔다]."""," '담그다'는 '담가, 담그니, 담근, 담가서, 담가라, 담글, 담그고, 담그면, 담그지'와 같이 활용한다. 따라서 '김치를 담궜어'나 '발을 담구었다' 등은 모두 틀린 표현이다. 이처럼 모음 어미 앞에서 어간의 끝소리 '?'가 탈락하는 것을 '으탈락'이라고 한다. 한편 '잠그다'는 '잠가, 잠그니, 잠근, 잠가서, 잠가라, 잠글, 잠그고, 잠그면, 잠그지'와 같이 활용하므로 '문을 잠궈서'라고 하면 틀린다. 또한 '끄다'도 '꺼, 끄니, 끈, 꺼서, 꺼라, 끌, 끄고, 끄면, 끄지'와 같이 활용하므로 '불을 꺼야 해'로 써야 한다."
321," ""담궜다"""," ""담갔다"""," ""그는 어제 저녁 오랜만에 장을 [담갔다]."""," '담그다'는 '담가, 담그니, 담근, 담가서, 담가라, 담글, 담그고, 담그면, 담그지'와 같이 활용한다. 따라서 '김치를 담궜어'나 '발을 담구었다' 등은 모두 틀린 표현이다. 이처럼 모음 어미 앞에서 어간의 끝소리 '?'가 탈락하는 것을 '으탈락'이라고 한다. 한편 '잠그다'는 '잠가, 잠그니, 잠근, 잠가서, 잠가라, 잠글, 잠그고, 잠그면, 잠그지'와 같이 활용하므로 '문을 잠궈서'라고 하면 틀린다. 또한 '끄다'도 '꺼, 끄니, 끈, 꺼서, 꺼라, 끌, 끄고, 끄면, 끄지'와 같이 활용하므로 '불을 꺼야 해'로 써야 한다."
322," ""땡기질"""," ""당기질"""," ""입맛이 영 [당기질] 않아."""," '담그다'는 '담가, 담그니, 담근, 담가서, 담가라, 담글, 담그고, 담그면, 담그지'와 같이 활용한다. 따라서 '김치를 담궜어'나 '발을 담구었다' 등은 모두 틀린 표현이다. 이처럼 모음 어미 앞에서 어간의 끝소리 '?'가 탈락하는 것을 '으탈락'이라고 한다. 한편 '잠그다'는 '잠가, 잠그니, 잠근, 잠가서, 잠가라, 잠글, 잠그고, 잠그면, 잠그지'와 같이 활용하므로 '문을 잠궈서'라고 하면 틀린다. 또한 '끄다'도 '꺼, 끄니, 끈, 꺼서, 꺼라, 끌, 끄고, 끄면, 끄지'와 같이 활용하므로 '불을 꺼야 해'로 써야 한다."
323," ""당체"""," ""당최"""," ""그 문제는 [당최] 이해가 안 돼."""," ‘당최’는 ‘당초에(애당초)’에서 온 말로, 주로 부정적인 상황에서 쓰이며, 그 의미는 ‘도무지, 영’과 같다."
324," ""당체"""," ""당최"""," ""[당최] 그게 무엇인지 모른다."""," ‘당최’는 ‘당초에(애당초)’에서 온 말로, 주로 부정적인 상황에서 쓰이며, 그 의미는 ‘도무지, 영’과 같다."
325," ""댓가"""," ""대가"""," ""믿을 만한 [대가]가 돌아오지 않을 거야."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
326," ""댓가"""," ""대가"""," ""그는 자신의 노력이 없는 큰 [대가]를 바란다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
327," ""댓가"""," ""대가"""," ""어떤 일이든 [대가]를 치르게 마련이다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
328," ""댓가"""," ""대가"""," ""이 사건의 [대가]를 받아야 한다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
329," ""댓가"""," ""대가"""," ""노력의 [대가]가 이렇게 돌아왔다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
330," ""댓가"""," ""대가"""," ""그 선택의 [대가]가 무엇이든 감수할 것이다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
331," ""댓가"""," ""대가"""," ""그는 자신의 행동에 대한 [대가]를 치르게 될 것이다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
332," ""댓가"""," ""대가"""," ""이 상황에서 [대가]를 지불해야 한다."""," '대가'는 노력이나 희생을 통하여 얻게 되는 결과를 의미하는 명사로, 그 자체가 한 단어이므로 붙여 써야 한다."
333," ""되갚음"""," ""대갚음"""," ""그 친구에게 옳지 않은 행동을 [대갚음]을 해주었다."""," '되'와 '돼'는 발음이 비슷해 혼동하기 쉽다. 그러나 '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말이다. 따라서 '되-' 뒤에 어미가 붙을 때에는 '되고, 되지, 되니, 됩니다'처럼 활용한다. 반면 '돼-'로 시작하는 말은 모두 '돼고, 돼지, 돼니, 됍니다' 등과 같이 잘못 표기된 것이다."
334," ""되갚음"""," ""대갚음"""," ""그가 나쁜 짓을 했으니 반드시 [대갚음]을 해야 한다."""," '되'와 '돼'는 발음이 비슷해 혼동하기 쉽다. 그러나 '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말이다. 따라서 '되-' 뒤에 어미가 붙을 때에는 '되고, 되지, 되니, 됩니다'처럼 활용한다. 반면 '돼-'로 시작하는 말은 모두 '돼고, 돼지, 돼니, 됍니다' 등과 같이 잘못 표기된 것이다."
